MODEL,C,FEATURE_SCALE,INTERACTION_STRENGTH,MEAN_CV_AUROC,SD_CV_AUROC,THRESHOLD,THRESHOLD_INNER_MCC,THRESHOLD_INNER_BALANCED_ACCURACY,ELAPSED_SECONDS
quantum_iqp_zz_linear,1.0,0.125,1.0,0.7346063352064809,0.11950492099649973,0.38352092535744364,0.45402342142122065,0.6658944658944659,7.043983700001263
iqp_zz_current_20q_idle_control,1.0,0.125,1.0,0.7346063352064809,0.11950492099649973,0.38352092535744364,0.45402342142122065,0.6658944658944659,7.043983700001263
iqp_zz_current_20q_duplicate,1.0,0.125,1.0,0.7354107286800949,0.10932985218765157,0.8890476888807625,0.4476186973845293,0.6517466446037875,21.184239199999865
iqp_zz_current_20q_complementary_signed_sqrt,1.0,0.125,1.0,0.7295099743078955,0.11403315748527604,0.7725788170806321,0.45564008396935346,0.6634307777164921,21.12622719999854
