MODEL,N,AUROC,AUPRC,BALANCED_ACCURACY,MCC,SENSITIVITY,SPECIFICITY,TP,TN,FP,FN
quantum_iqp_zz_linear,8,0.5,0.39285714285714285,0.5,0.0,0.0,1.0,0,6,0,2
iqp_zz_current_20q_idle_control,8,0.5,0.39285714285714285,0.5,0.0,0.0,1.0,0,6,0,2
iqp_zz_current_20q_duplicate,8,0.5,0.39285714285714285,0.5,0.0,0.0,1.0,0,6,0,2
iqp_zz_current_20q_complementary_signed_sqrt,8,0.5833333333333333,0.6428571428571428,0.5,0.0,0.0,1.0,0,6,0,2
