FEATURE,MolLogP,MolWt,TPSA_SP,NumHDonors,NumRotatableBonds,NumAromaticRings,nHalogen,n_OP,LiPHEX_prediction,sasa002_frac_polar_hetero_only
MolLogP,0.0,0.02134794152755793,0.004133232216766531,0.004084660544856888,0.01145128872588031,-0.00435097427960332,0.0010384870258873414,0.047874420230563895,0.007066932019338279,-0.004779907409270418
MolWt,0.02134794152755793,0.0,0.01187530382435947,0.006181616530685469,-0.005813445207708717,-0.00609329176740635,0.008323443850841997,0.006243491516341404,-0.023722337525049583,0.008047056709099937
TPSA_SP,0.004133232216766531,0.01187530382435947,0.0,-0.007069887773619432,0.007208768632293677,0.0030735356507955113,-0.002486203348966842,0.0008860082049483298,-0.008052533070202145,-0.00448699470275668
NumHDonors,0.004084660544856888,0.006181616530685469,-0.007069887773619432,0.0,0.002983861518153286,0.0013422028207981495,0.004339413877996451,0.009634517182187451,-0.025030688309252203,0.01491429488305547
NumRotatableBonds,0.01145128872588031,-0.005813445207708717,0.007208768632293677,0.002983861518153286,0.0,-0.0015795704301571456,0.0028072515752832925,0.0032750811237873155,0.017638002097843775,0.013340836502718773
NumAromaticRings,-0.00435097427960332,-0.00609329176740635,0.0030735356507955113,0.0013422028207981495,-0.0015795704301571456,0.0,-0.0046219143721328935,-0.03631450309085826,0.018988309280469857,0.017953036278943058
nHalogen,0.0010384870258873414,0.008323443850841997,-0.002486203348966842,0.004339413877996451,0.0028072515752832925,-0.0046219143721328935,0.0,0.005063862590797741,-0.006842561826712718,-0.0023605841583137664
n_OP,0.047874420230563895,0.006243491516341404,0.0008860082049483298,0.009634517182187451,0.0032750811237873155,-0.03631450309085826,0.005063862590797741,0.0,-0.02379211419835764,-0.0003100035976367099
LiPHEX_prediction,0.007066932019338279,-0.023722337525049583,-0.008052533070202145,-0.025030688309252203,0.017638002097843775,0.018988309280469857,-0.006842561826712718,-0.02379211419835764,0.0,0.018920193160736093
sasa002_frac_polar_hetero_only,-0.004779907409270418,0.008047056709099937,-0.00448699470275668,0.01491429488305547,0.013340836502718773,0.017953036278943058,-0.0023605841583137664,-0.0003100035976367099,0.018920193160736093,0.0
