FEATURE,MolLogP,MolWt,TPSA_SP,NumHDonors,NumRotatableBonds,NumAromaticRings,nHalogen,n_OP,LiPHEX_prediction,sasa002_frac_polar_hetero_only
MolLogP,0.0,0.20550843730521495,0.2535481803946059,0.20817803359803264,0.21115971831270458,0.22036071370129245,0.22285068114563775,0.5213862999663748,0.20640154671620414,0.2784221185471506
MolWt,0.20550843730521495,0.0,0.24389102019846987,0.20082394579651014,0.18542499704436824,0.14550880785653555,0.17486416558279103,0.5070783666836597,0.12844795753491264,0.24211421277483064
TPSA_SP,0.2535481803946059,0.24389102019846987,0.0,0.26160841440930305,0.2480665259455806,0.23401620364615824,0.23957572876678962,0.4861744861056385,0.22026826487395823,0.20177302318328807
NumHDonors,0.20817803359803264,0.20082394579651014,0.26160841440930305,0.0,0.2640310551703481,0.19704297318182912,0.20288951022649152,0.49217097744611193,0.19709986669899,0.26184152265277055
NumRotatableBonds,0.21115971831270458,0.18542499704436824,0.2480665259455806,0.2640310551703481,0.0,0.16875880746561914,0.2676592969277819,0.48823243182753695,0.2260667112030344,0.24255747077361772
NumAromaticRings,0.22036071370129245,0.14550880785653555,0.23401620364615824,0.19704297318182912,0.16875880746561914,0.0,0.14864020733677305,0.4423826602191281,0.1769678189331388,0.21181654628283156
nHalogen,0.22285068114563775,0.17486416558279103,0.23957572876678962,0.20288951022649152,0.2676592969277819,0.14864020733677305,0.0,0.49849423305361756,0.2169631301816417,0.22154118842716786
n_OP,0.5213862999663748,0.5070783666836597,0.4861744861056385,0.49217097744611193,0.48823243182753695,0.4423826602191281,0.49849423305361756,0.0,0.46294523279439437,0.48854833743431014
LiPHEX_prediction,0.20640154671620414,0.12844795753491264,0.22026826487395823,0.19709986669899,0.2260667112030344,0.1769678189331388,0.2169631301816417,0.46294523279439437,0.0,0.20028469074691935
sasa002_frac_polar_hetero_only,0.2784221185471506,0.24211421277483064,0.20177302318328807,0.26184152265277055,0.24255747077361772,0.21181654628283156,0.22154118842716786,0.48854833743431014,0.20028469074691935,0.0
