ARM,AUPRC,AUROC,BALANCED_ACCURACY,C,EXPLORATORY_OUTER_RESULT,FN,FP,KERNEL_PARAMS,LEFT_FEATURE,MCC,OUTER_FOLD,PAIR,PAIR_INDEX,RIGHT_FEATURE,SENSITIVITY,SPECIFICITY,THRESHOLD,TN,TP,USED_FOR_PATH_SELECTION
pair_rbf_control,0.42604356967413587,0.565979381443299,0.5889175257731959,100.0,True,30,7,"{""gamma"": 0.1}",MolLogP,0.24525515481681673,1,MolLogP__n_OP,7,n_OP,0.25,0.9278350515463918,0.421765582487875,90,10,False
pair_phase_no_zz,0.3163885222036491,0.5033505154639175,0.49922680412371134,10.0,True,38,5,"{""feature_scale"": 0.125}",MolLogP,-0.003193115966799965,1,MolLogP__LiPHEX_prediction,8,LiPHEX_prediction,0.05,0.9484536082474226,1.005801102847256,92,2,False
pair_iqp_zz,0.34089240917790264,0.5180412371134021,0.4984536082474227,100.0,True,36,10,"{""feature_scale"": 0.25}",MolLogP,-0.004642466832812115,1,MolLogP__LiPHEX_prediction,8,LiPHEX_prediction,0.1,0.8969072164948454,0.8055898479076218,87,4,False
pair_rbf_control,0.33173882303088253,0.5097938144329897,0.5153350515463917,10.0,True,33,14,"{""gamma"": 0.1}",MolLogP,0.038707262400982385,1,MolLogP__LiPHEX_prediction,8,LiPHEX_prediction,0.175,0.8556701030927835,0.6862569062505185,83,7,False
pair_phase_no_zz,0.33449523758353783,0.5724226804123712,0.5278350515463918,100.0,True,32,14,"{""feature_scale"": 0.5}",MolLogP,0.06894100780042339,1,MolLogP__sasa002_frac_polar_hetero_only,9,sasa002_frac_polar_hetero_only,0.2,0.8556701030927835,0.6330469486554893,83,8,False
pair_iqp_zz,0.33662965520314636,0.5780927835051546,0.5431701030927836,100.0,True,25,28,"{""feature_scale"": 0.25}",MolLogP,0.08459229150653626,1,MolLogP__sasa002_frac_polar_hetero_only,9,sasa002_frac_polar_hetero_only,0.375,0.711340206185567,-0.11492692357693302,69,15,False
pair_rbf_control,0.34081411135647977,0.5832474226804124,0.535180412371134,0.1,True,31,15,"{""gamma"": 0.3}",MolLogP,0.08415926649315786,1,MolLogP__sasa002_frac_polar_hetero_only,9,sasa002_frac_polar_hetero_only,0.225,0.845360824742268,0.5281983682068431,82,9,False
pair_phase_no_zz,0.3901319524623923,0.5414948453608247,0.507860824742268,100.0,True,27,30,"{""feature_scale"": 0.25}",MolWt,0.015403372483279736,1,MolWt__TPSA_SP,10,TPSA_SP,0.325,0.6907216494845361,0.28181849219432564,67,13,False
pair_iqp_zz,0.3590831428435012,0.5505154639175258,0.49458762886597935,100.0,True,26,35,"{""feature_scale"": 0.5}",MolWt,-0.010268193673284994,1,MolWt__TPSA_SP,10,TPSA_SP,0.35,0.6391752577319587,0.040840198676812434,62,14,False
pair_rbf_control,0.3255441933467331,0.5399484536082475,0.47036082474226804,10.0,True,30,30,"{""gamma"": 0.3}",MolWt,-0.059278350515463915,1,MolWt__TPSA_SP,10,TPSA_SP,0.25,0.6907216494845361,0.20339201002864649,67,10,False
pair_phase_no_zz,0.2506305315145413,0.4036082474226804,0.40399484536082475,1.0,True,25,55,"{""feature_scale"": 1.0}",MolWt,-0.17464412820503597,1,MolWt__NumHDonors,11,NumHDonors,0.375,0.4329896907216495,-0.9829820442847872,42,15,False
pair_iqp_zz,0.307327527704615,0.4461340206185567,0.4099226804123711,1.0,True,27,49,"{""feature_scale"": 0.125}",MolWt,-0.16456400054696838,1,MolWt__NumHDonors,11,NumHDonors,0.325,0.4948453608247423,0.27838931004287265,48,13,False
pair_rbf_control,0.2769812146973252,0.4600515463917526,0.4128865979381443,10.0,True,28,46,"{""gamma"": 0.1}",MolWt,-0.16032575387794637,1,MolWt__NumHDonors,11,NumHDonors,0.3,0.5257731958762887,0.4495009601162646,51,12,False
pair_phase_no_zz,0.32362950739649,0.5131443298969072,0.4615979381443299,0.1,True,34,22,"{""feature_scale"": 1.0}",MolWt,-0.08659805476140803,1,MolWt__NumRotatableBonds,12,NumRotatableBonds,0.15,0.7731958762886598,0.35352883339639407,75,6,False
pair_iqp_zz,0.36956646406935256,0.4932989690721649,0.5278350515463918,100.0,True,32,14,"{""feature_scale"": 0.5}",MolWt,0.06894100780042339,1,MolWt__NumRotatableBonds,12,NumRotatableBonds,0.2,0.8556701030927835,1.09187333871412,83,8,False
pair_rbf_control,0.38157045561359204,0.5309278350515464,0.5179123711340207,10.0,True,13,62,"{""gamma"": 0.3}",MolWt,0.03414155641382043,1,MolWt__NumRotatableBonds,12,NumRotatableBonds,0.675,0.36082474226804123,-0.7524329163413591,35,27,False
pair_phase_no_zz,0.3266445896881981,0.5109536082474226,0.5173969072164948,0.1,True,25,33,"{""feature_scale"": 1.0}",MolWt,0.03315906558176805,1,MolWt__NumAromaticRings,13,NumAromaticRings,0.375,0.6597938144329897,0.19829090990734347,64,15,False
pair_iqp_zz,0.316111613445356,0.5163659793814432,0.5344072164948453,0.1,True,29,20,"{""feature_scale"": 1.0}",MolWt,0.07477589485715433,1,MolWt__NumAromaticRings,13,NumAromaticRings,0.275,0.7938144329896907,0.02798825696416249,77,11,False
pair_rbf_control,0.47371829275033417,0.5983247422680412,0.5806701030927836,10.0,True,22,28,"{""gamma"": 0.3}",MolWt,0.15533125759883237,1,MolWt__NumAromaticRings,13,NumAromaticRings,0.45,0.711340206185567,0.3960246737009827,69,18,False
pair_phase_no_zz,0.29758770014959157,0.4797680412371134,0.5032216494845361,100.0,True,15,60,"{""feature_scale"": 0.25}",MolWt,0.00603688650662302,1,MolWt__nHalogen,14,nHalogen,0.625,0.38144329896907214,-0.3422661735257062,37,25,False
pair_iqp_zz,0.32441519269254443,0.48595360824742273,0.5481958762886598,100.0,True,18,44,"{""feature_scale"": 0.25}",MolWt,0.08771110801154186,1,MolWt__nHalogen,14,nHalogen,0.55,0.5463917525773195,-0.05138299829180887,53,22,False
pair_rbf_control,0.40988951590004047,0.5777061855670104,0.5930412371134021,100.0,True,14,45,"{""gamma"": 0.3}",MolWt,0.16932465236452732,1,MolWt__nHalogen,14,nHalogen,0.65,0.5360824742268041,-0.4161513207374157,52,26,False
pair_phase_no_zz,0.5221265416761528,0.5743556701030927,0.6021907216494845,0.1,True,31,2,"{""feature_scale"": 0.125}",MolWt,0.3419603157233907,1,MolWt__n_OP,15,n_OP,0.225,0.979381443298969,-0.33991651316097754,95,9,False
pair_iqp_zz,0.5220695810928764,0.5740979381443299,0.6021907216494845,0.1,True,31,2,"{""feature_scale"": 0.125}",MolWt,0.3419603157233907,1,MolWt__n_OP,15,n_OP,0.225,0.979381443298969,-0.33507046896558235,95,9,False
pair_rbf_control,0.5703380707571152,0.657860824742268,0.6271907216494845,100.0,True,29,2,"{""gamma"": 0.03}",MolWt,0.39465605572152196,1,MolWt__n_OP,15,n_OP,0.275,0.979381443298969,0.6157334482906673,95,11,False
pair_phase_no_zz,0.28444583040983135,0.44226804123711344,0.502319587628866,10.0,True,6,82,"{""feature_scale"": 0.125}",MolWt,0.005854880027039352,1,MolWt__LiPHEX_prediction,16,LiPHEX_prediction,0.85,0.15463917525773196,-0.5689918392832491,15,34,False
pair_iqp_zz,0.2843947651069557,0.4420103092783505,0.5118556701030927,10.0,True,4,85,"{""feature_scale"": 0.125}",MolWt,0.033567522451278455,1,MolWt__LiPHEX_prediction,16,LiPHEX_prediction,0.9,0.12371134020618557,-0.674989813699836,12,36,False
pair_rbf_control,0.28718919007078697,0.4641752577319588,0.5346649484536082,10.0,True,3,83,"{""gamma"": 0.01}",MolWt,0.09561396615322275,1,MolWt__LiPHEX_prediction,16,LiPHEX_prediction,0.925,0.14432989690721648,-0.5705818924272141,14,37,False
pair_phase_no_zz,0.3482370976063594,0.49613402061855666,0.510180412371134,100.0,True,33,15,"{""feature_scale"": 0.5}",MolWt,0.025214535260340037,1,MolWt__sasa002_frac_polar_hetero_only,17,sasa002_frac_polar_hetero_only,0.175,0.845360824742268,0.6894547054431384,82,7,False
pair_iqp_zz,0.3654190428188206,0.5146907216494845,0.5012886597938144,10.0,True,30,24,"{""feature_scale"": 0.5}",MolWt,0.0027128517808344943,1,MolWt__sasa002_frac_polar_hetero_only,17,sasa002_frac_polar_hetero_only,0.25,0.7525773195876289,0.2557891531234714,73,10,False
pair_rbf_control,0.3983066026583327,0.5914948453608248,0.5725515463917525,1.0,True,21,32,"{""gamma"": 0.3}",MolWt,0.13647660750160334,1,MolWt__sasa002_frac_polar_hetero_only,17,sasa002_frac_polar_hetero_only,0.475,0.6701030927835051,-0.17935069027801848,65,19,False
pair_phase_no_zz,0.3407590247465794,0.44033505154639174,0.5514175257731959,10.0,True,33,7,"{""feature_scale"": 0.25}",TPSA_SP,0.1543620221910028,1,TPSA_SP__NumHDonors,18,NumHDonors,0.175,0.9278350515463918,1.000165096519538,90,7,False
pair_iqp_zz,0.3497143358878709,0.4576030927835052,0.5587628865979382,100.0,True,32,8,"{""feature_scale"": 0.25}",TPSA_SP,0.1663781547585106,1,TPSA_SP__NumHDonors,18,NumHDonors,0.2,0.9175257731958762,0.9880741883059159,89,8,False
pair_rbf_control,0.3479562993463065,0.4527061855670103,0.5514175257731959,100.0,True,33,7,"{""gamma"": 0.03}",TPSA_SP,0.1543620221910028,1,TPSA_SP__NumHDonors,18,NumHDonors,0.175,0.9278350515463918,0.9948720977449739,90,7,False
pair_phase_no_zz,0.33834266400740987,0.518298969072165,0.530798969072165,0.1,True,33,11,"{""feature_scale"": 1.0}",TPSA_SP,0.08290339291440539,1,TPSA_SP__NumRotatableBonds,19,NumRotatableBonds,0.175,0.8865979381443299,0.35765520136892054,86,7,False
pair_iqp_zz,0.27788700974035035,0.4533505154639176,0.485180412371134,100.0,True,35,15,"{""feature_scale"": 0.5}",TPSA_SP,-0.038165771765564835,1,TPSA_SP__NumRotatableBonds,19,NumRotatableBonds,0.125,0.845360824742268,0.9398909806831846,82,5,False
pair_rbf_control,0.32789819663927733,0.5185567010309278,0.5043814432989691,0.1,True,38,4,"{""gamma"": 0.3}",TPSA_SP,0.019469364737186187,1,TPSA_SP__NumRotatableBonds,19,NumRotatableBonds,0.05,0.9587628865979382,0.9278865376441316,93,2,False
pair_phase_no_zz,0.3527350854152019,0.5578608247422681,0.5072164948453608,0.1,True,32,18,"{""feature_scale"": 1.0}",TPSA_SP,0.01673493388145812,1,TPSA_SP__NumAromaticRings,20,NumAromaticRings,0.2,0.8144329896907216,0.6087001383979714,79,8,False
pair_iqp_zz,0.3869363260508643,0.5403350515463917,0.5469072164948453,10.0,True,28,20,"{""feature_scale"": 0.5}",TPSA_SP,0.10081284759667206,1,TPSA_SP__NumAromaticRings,20,NumAromaticRings,0.3,0.7938144329896907,0.43604763825597104,77,12,False
pair_rbf_control,0.40995875618832794,0.5637886597938144,0.5255154639175257,100.0,True,26,29,"{""gamma"": 0.1}",TPSA_SP,0.049997831994907996,1,TPSA_SP__NumAromaticRings,20,NumAromaticRings,0.35,0.7010309278350515,0.06198923722594385,68,14,False
pair_phase_no_zz,0.39406239767126516,0.6167525773195877,0.5622422680412371,10.0,True,21,34,"{""feature_scale"": 0.25}",TPSA_SP,0.11621272642242149,1,TPSA_SP__nHalogen,21,nHalogen,0.475,0.6494845360824743,0.14391428434785195,63,19,False
pair_iqp_zz,0.39112108823835207,0.6167525773195877,0.5402061855670104,100.0,True,24,31,"{""feature_scale"": 0.125}",TPSA_SP,0.0770137990672103,1,TPSA_SP__nHalogen,21,nHalogen,0.4,0.6804123711340206,0.24131761663337903,66,16,False
