BALANCED_ACCURACY,DELTA_MCC_ZZ_VS_BEST_SINGLETON,DELTA_MCC_ZZ_VS_NO_ZZ,EDGE_SCORE_SOURCE,INNER_FOLD_DELTAS,INNER_FOLD_DELTA_MEAN,INNER_FOLD_DELTA_SD,INNER_FOLD_POSITIVE_DELTA_COUNT,LEFT_FEATURE,LEFT_INDEX,NO_ZZ_C,NO_ZZ_PARAMS,NO_ZZ_THRESHOLD,OUTER_FOLD,OUTER_VALIDATION_LABELS_ACCESSED,PAIR,PAIR_AUPRC_ZZ,PAIR_AUROC_ZZ,PAIR_INDEX,PAIR_MCC_NO_ZZ,PAIR_MCC_ZZ,RIGHT_FEATURE,RIGHT_INDEX,SENSITIVITY,SPECIFICITY,STABLE_EDGE_SCORE,ZZ_C,ZZ_PARAMS,ZZ_THRESHOLD
0.6040041383552834,-0.021159917612321805,-0.008519354889318403,inner_OOF_outer_train_only,"[0.03409405524122841, -0.03282053402254953, 0.008082055935701826, -0.057562921108891316]",-0.012051835988627652,0.04097728870267204,2,MolLogP,0,100.0,"{""feature_scale"": 0.25}",0.27483749540478486,1,False,MolLogP__MolWt,0.4348664349188226,0.6233537454911501,1,0.22017207165918337,0.21165271676986497,MolWt,1,0.43956043956043955,0.7684478371501272,-0.03254048033996367,100.0,"{""feature_scale"": 0.25}",0.40044481571080226
0.6631364818387719,0.12614348636429565,-0.004228473857105286,inner_OOF_outer_train_only,"[0.018400678258997744, -0.013393397946621532, -0.017010548444173823, 0.0]",-0.003000817032949403,0.01603441315689836,1,MolLogP,0,1.0,"{""feature_scale"": 0.5}",0.6367275414510429,1,False,MolLogP__TPSA_SP,0.5166703387589798,0.6972709224617621,2,0.3631845946035877,0.3589561207464824,TPSA_SP,2,0.45604395604395603,0.8702290076335878,-0.011018023611398583,1.0,"{""feature_scale"": 0.5}",0.5863856992402657
0.6353284120459692,0.022779521782558793,-0.0010944056759198961,inner_OOF_outer_train_only,"[-0.02145418752081818, 0.018939883448885253, 0.025297545712472946, 0.033981325926774386]",0.014191141891828601,0.02455024538421877,3,MolLogP,0,1.0,"{""feature_scale"": 0.5}",0.06141458684565221,1,False,MolLogP__NumHDonors,0.44494001370532343,0.6462964516399631,3,0.25668656184066546,0.25559215616474557,NumHDonors,3,0.5989010989010989,0.6717557251908397,0.0019160191997192166,1.0,"{""feature_scale"": 0.125}",0.3493423058311752
0.6205435785588458,0.014899527136164159,0.0074074183671050675,inner_OOF_outer_train_only,"[0.0006983661554177678, -0.0060836855976477144, -0.038004954889226006, 0.07958669630909895]",0.00904910549441075,0.0499612267339084,2,MolLogP,0,0.1,"{""feature_scale"": 0.25}",-0.0028597729266171823,1,False,MolLogP__NumRotatableBonds,0.4691082974194657,0.6591589072505104,4,0.24378670446799278,0.25119412283509784,NumRotatableBonds,4,0.43956043956043955,0.8015267175572519,-0.015931507872543448,100.0,"{""feature_scale"": 0.25}",0.617114944626408
0.6079327796885049,0.0072163265894368556,-0.017736381513519694,inner_OOF_outer_train_only,"[-0.022139330200127705, 0.0, -0.0019233097274046762, -0.04164852434172028]",-0.016427791067313166,0.019570039724499846,0,MolLogP,0,100.0,"{""feature_scale"": 0.25}",0.6246428831935593,1,False,MolLogP__NumAromaticRings,0.48538291777525766,0.654964628247071,5,0.2577653424851433,0.24002896097162363,NumAromaticRings,5,0.37362637362637363,0.8422391857506362,-0.02621281092956309,100.0,"{""feature_scale"": 0.25}",0.5838264508409705
0.5804252998909487,0.011910718474374443,-0.02892365805447039,inner_OOF_outer_train_only,"[-0.08177307953498594, -0.10044044126388318, 0.025438646490284544, 0.0013369399101670343]",-0.03885948359960439,0.06160030589477101,2,MolLogP,0,1.0,"{""feature_scale"": 0.5}",0.6052489068502578,1,False,MolLogP__nHalogen,0.5053138543996059,0.6707351173000028,6,0.2736470109110316,0.24472335285656122,nHalogen,6,0.21428571428571427,0.9465648854961832,-0.0696596365469899,100.0,"{""feature_scale"": 0.25}",1.0116915787505947
0.7471968235327013,0.05452979086399057,0.08331579359052876,inner_OOF_outer_train_only,"[-0.025789905617487507, 0.09970109806673977, 0.07208669531575629, 0.1341247411139574]",0.07003065721974149,0.06873668163212814,3,MolLogP,0,0.1,"{""feature_scale"": 0.25}",-0.5550997948940981,1,False,MolLogP__n_OP,0.6963466931332636,0.7896149651874843,7,0.5033606401047604,0.5866764336952892,n_OP,7,0.5274725274725275,0.9669211195928753,0.03566231640367742,100.0,"{""feature_scale"": 0.5}",0.37136114715084023
0.5727917121046892,-0.02038400828603129,-0.013815999897554748,inner_OOF_outer_train_only,"[0.17141389100657797, -0.08769547134844613, -0.06378622016929358, 0.06452834215153985]",0.021115135410094528,0.12044696035434906,2,MolLogP,0,10.0,"{""feature_scale"": 0.125}",1.005801102847256,1,False,MolLogP__LiPHEX_prediction,0.4491210421156539,0.6154545200346727,8,0.22624462599371023,0.21242862609615548,LiPHEX_prediction,8,0.21428571428571427,0.9312977099236641,-0.03910834476708,100.0,"{""feature_scale"": 0.25}",0.8055898479076218
0.6877289377289377,0.11806140500970799,-0.012159815135130758,inner_OOF_outer_train_only,"[-0.07281997160728937, 0.12974792082900016, -0.08874922365773108, -0.003895892699589898]",-0.008929291783902546,0.0995154006457683,1,MolLogP,0,100.0,"{""feature_scale"": 0.5}",0.6330469486554893,1,False,MolLogP__sasa002_frac_polar_hetero_only,0.5328607000508891,0.7159913877471129,9,0.3630338545270255,0.35087403939189477,sasa002_frac_polar_hetero_only,9,0.7087912087912088,0.6666666666666666,-0.0586869921067867,100.0,"{""feature_scale"": 0.25}",-0.11492692357693302
0.6765022509297318,0.11747202325151795,0.027886998940541197,inner_OOF_outer_train_only,"[0.14476810828871273, 0.056969962113206096, -0.10670703565377543, -0.012348532564506631]",0.02067062554590919,0.10651003150462496,2,MolWt,1,100.0,"{""feature_scale"": 0.25}",0.28181849219432564,1,False,MolWt__TPSA_SP,0.5111152159823625,0.7073791348600509,10,0.3198107485612939,0.3476977475018351,TPSA_SP,2,0.5769230769230769,0.7760814249363868,-0.03258439020640329,100.0,"{""feature_scale"": 0.5}",0.040840198676812434
