MODEL,REAL_NESTED_OOF_AUROC,MEAN_RANDOMIZED_AUROC,SD_RANDOMIZED_AUROC,P95_RANDOMIZED_AUROC,EMPIRICAL_FRACTION_RANDOMIZED_GE_REAL,PERMUTATIONS,MODE
logistic,0.7252436109578967,0.4995791735613164,0.031034720510918476,0.5516404669976099,0.0,200,fixed_configuration_Y_randomization
random_forest,0.7565407243978672,0.49576608751608753,0.03014725134584713,0.5429892903107189,0.0,200,fixed_configuration_Y_randomization
mlp,0.667687074829932,0.501283186247472,0.025610883850828287,0.5419396947968378,0.0,200,fixed_configuration_Y_randomization
rbf_matched,0.7153980511123369,0.497750712447141,0.03036686860639266,0.547135732671447,0.0,200,fixed_configuration_Y_randomization
quantum_angle_product,0.7171446957161245,0.4979654118404119,0.03043601199912836,0.5514092664092664,0.0,200,fixed_configuration_Y_randomization
quantum_iqp_zz_linear,0.7139823496966354,0.4979064396028681,0.030342551236598427,0.549282726604155,0.0,200,fixed_configuration_Y_randomization
