REPLICATE,LEFT_MODEL,RIGHT_MODEL,MCC_DELTA
18,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.028603305328145923
18,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0013350064499257908
19,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
19,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.00936609494547469
19,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.02242824999740617
19,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.013062155051931479
20,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
20,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03231556886842646
20,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.02547474493926427
20,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0068408239291621875
21,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
21,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.028537417553900546
21,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.022472494523877395
21,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0060649230300231505
22,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
22,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.011389136777819553
22,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.05817907453652693
22,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.04678993775870738
23,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
23,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.05385533386724756
23,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.04780685443030264
23,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.00604847943694492
24,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
24,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.046165018781618744
24,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.035132058240677194
24,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.01103296054094155
25,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
25,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.012561840888610287
25,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.05356013291287115
25,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.04099829202426086
26,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
26,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.04041602622801477
26,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.04267874028238983
26,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.002262714054375059
27,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
27,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.0333684050460516
27,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.0334979702628318
27,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.00012956521678020305
28,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
28,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.02551327764691813
28,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.004352784216428152
28,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.02116049343048998
29,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
29,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.007924454246933277
29,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.029760190671967945
29,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.03768464491890122
30,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
30,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.0437065878896441
30,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.012558159827007642
30,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.031148428062636457
31,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
31,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.028434645388642876
31,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.03088001191347417
31,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.002445366524831294
32,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
32,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.04250136705310703
32,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.012382538031143364
32,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.030118829021963667
33,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
33,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.012600076297861418
33,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.003290678858237084
33,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.0158907551560985
34,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
34,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.015471331048909853
34,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.027373595485300828
34,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.04284492653421068
35,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
35,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.019949750247125475
35,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,-2.047409276395573e-06
35,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.01995179765640187
36,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
36,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.009815636809135941
36,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.015162802325718705
36,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.005347165516582764
37,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
37,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.05015896562625133
37,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.025223984851747316
37,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.024934980774504012
38,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
38,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.056269566166040674
38,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.039335630818948975
38,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0169339353470917
39,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
39,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03054518728535338
39,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.023854072463689202
39,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.006691114821664179
40,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
40,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.011753356691504402
40,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.013065387835275666
40,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.001312031143771264
41,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
41,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03738736635101364
41,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.02569766106072191
41,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.01168970529029173
42,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
42,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.038508499969333865
42,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.046796168471917865
42,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.008287668502584
43,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
43,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.06761952336128027
43,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.01998472436478868
43,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.04763479899649159
44,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
44,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.01932044260621174
44,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.02419952573155043
44,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.00487908312533869
45,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
45,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.025674246452207283
45,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.021783855820572295
45,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.003890390631634988
46,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
46,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.07979207958075801
46,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,-0.0026622689973799796
46,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.08245434857813799
47,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
47,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.07180317324727181
47,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.039784875047988666
47,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.032018298199283146
48,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
48,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.012691749431665844
