LEFT_MODEL,RIGHT_MODEL,METRIC,OBSERVED_DELTA,BOOTSTRAP_MEDIAN,CI_LOW_95,CI_HIGH_95,P_DELTA_GT_0,REPLICATES,RESAMPLING_UNIT,SEED
iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,MCC,0.0,0.0,0.0,0.0,0.0,2000,BUTINA_CLUSTER_ID,20260824
iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,MCC,0.031367460742685316,0.031837232856650216,-0.0119792000847458,0.06956753259441519,0.9355,2000,BUTINA_CLUSTER_ID,20260824
iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,MCC,0.02553385234594774,0.024283489896658184,0.0,0.06059896213810285,0.9735,2000,BUTINA_CLUSTER_ID,20260824
iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,MCC,-0.005833608396737577,-0.006801631870961861,-0.051134571183740235,0.047794442052406884,0.3905,2000,BUTINA_CLUSTER_ID,20260824
