family,comparison,source_run,evaluation_status,metric,left_model,left_representation,right_model,right_representation,delta,ci_low,ci_high,bootstrap_probability_delta_gt_zero,n_molecules
descriptor_ablation,X10 vs X10 - MolLogP (Logistic regression),classical,historical_holdout,auprc,logistic,x10,logistic,without_mollogp,-0.04725763564697594,-0.09086807169849423,-0.007451628348380451,0.0095,181
descriptor_ablation,X10 vs X10 - LiPHEX (Logistic regression),classical,historical_holdout,auroc,logistic,x10,logistic,without_liphex,-0.0004638218923933568,-0.01824366110080389,0.018409863945578184,0.4745,181
descriptor_ablation,X10 vs X10 - LiPHEX (Logistic regression),classical,historical_holdout,auprc,logistic,x10,logistic,without_liphex,0.00028464520216542333,-0.018973282781551366,0.02084797731328782,0.5175,181
descriptor_ablation,X10 vs X10 - both partition descriptors (Logistic regression),classical,historical_holdout,auroc,logistic,x10,logistic,without_partition_pair,-0.03540507111935676,-0.06864950525664819,-0.0049474335188620655,0.014,181
descriptor_ablation,X10 vs X10 - both partition descriptors (Logistic regression),classical,historical_holdout,auprc,logistic,x10,logistic,without_partition_pair,-0.05500886975681718,-0.10583791850973083,-0.012702067787009103,0.006,181
descriptor_ablation,X10 vs X10 - n_OP (RBF-SVC),classical,historical_holdout,auroc,rbf_svc,x10,rbf_svc,without_n_op,0.028293135435992323,-0.03200371057513907,0.08719851576994408,0.8365,181
descriptor_ablation,X10 vs X10 - n_OP (RBF-SVC),classical,historical_holdout,auprc,rbf_svc,x10,rbf_svc,without_n_op,0.07063772272509605,-0.016926305139705958,0.14672739877074528,0.9295,181
descriptor_ablation,X10 vs X10 - MolLogP (RBF-SVC),classical,historical_holdout,auroc,rbf_svc,x10,rbf_svc,without_mollogp,-0.021645021645021578,-0.06666280148422997,0.023349567099567065,0.1725,181
descriptor_ablation,X10 vs X10 - MolLogP (RBF-SVC),classical,historical_holdout,auprc,rbf_svc,x10,rbf_svc,without_mollogp,0.02414419909456411,-0.0469846217080138,0.0714095945615898,0.689,181
descriptor_ablation,X10 vs X10 - LiPHEX (RBF-SVC),classical,historical_holdout,auroc,rbf_svc,x10,rbf_svc,without_liphex,-0.007421150278293043,-0.02210884353741494,0.0064973716759431374,0.149,181
descriptor_ablation,X10 vs X10 - LiPHEX (RBF-SVC),classical,historical_holdout,auprc,rbf_svc,x10,rbf_svc,without_liphex,0.002196045270513425,-0.020683978690552694,0.02433490253843283,0.5675,181
descriptor_ablation,X10 vs X10 - both partition descriptors (RBF-SVC),classical,historical_holdout,auroc,rbf_svc,x10,rbf_svc,without_partition_pair,-0.015924551638837325,-0.05983688930117497,0.027369356833642423,0.256,181
descriptor_ablation,X10 vs X10 - both partition descriptors (RBF-SVC),classical,historical_holdout,auprc,rbf_svc,x10,rbf_svc,without_partition_pair,0.04037036833791818,-0.025382294060826368,0.08502297781113324,0.8575,181
descriptor_ablation,X10 vs X10 - n_OP (Random forest),classical,historical_holdout,auroc,random_forest,x10,random_forest,without_n_op,0.0037105751391466324,-0.05141658936301796,0.05241187384044521,0.554,181
descriptor_ablation,X10 vs X10 - n_OP (Random forest),classical,historical_holdout,auprc,random_forest,x10,random_forest,without_n_op,0.04803689644338671,-0.022519687403796097,0.1309785688985387,0.891,181
descriptor_ablation,X10 vs X10 - MolLogP (Random forest),classical,historical_holdout,auroc,random_forest,x10,random_forest,without_mollogp,-0.016697588126159513,-0.06803494124922713,0.0315437538651823,0.262,181
descriptor_ablation,X10 vs X10 - MolLogP (Random forest),classical,historical_holdout,auprc,random_forest,x10,random_forest,without_mollogp,-0.02761955197205057,-0.07455888028460447,0.01756987276149508,0.115,181
descriptor_ablation,X10 vs X10 - LiPHEX (Random forest),classical,historical_holdout,auroc,random_forest,x10,random_forest,without_liphex,-0.04444959802102666,-0.08775123685837985,-0.005867346938775492,0.012,181
descriptor_ablation,X10 vs X10 - LiPHEX (Random forest),classical,historical_holdout,auprc,random_forest,x10,random_forest,without_liphex,-0.06667256654840237,-0.10206078407326828,-0.028379964956365092,0.0,181
descriptor_ablation,X10 vs X10 - both partition descriptors (Random forest),classical,historical_holdout,auroc,random_forest,x10,random_forest,without_partition_pair,-0.09392393320964743,-0.15190940012368578,-0.03795029375386522,0.0,181
descriptor_ablation,X10 vs X10 - both partition descriptors (Random forest),classical,historical_holdout,auprc,random_forest,x10,random_forest,without_partition_pair,-0.11501770137668854,-0.16806837547470174,-0.05881722511859936,0.0,181
structural_ablation,X10 vs X10 - n_OP (RBF kernel (matched)),quantum,development_oof,auroc,rbf_matched,x10,rbf_matched,without_n_op,0.0016179444750871186,-0.027920573634859506,0.02951323772752329,0.5525,712
structural_ablation,X10 vs X10 - n_OP (RBF kernel (matched)),quantum,development_oof,auprc,rbf_matched,x10,rbf_matched,without_n_op,0.047753354173912244,0.0029303880370395814,0.0898952992178665,0.9815,712
structural_ablation,X10 vs X10 - n_OP (Quantum product map),quantum,development_oof,auroc,quantum_angle_product,x10,quantum_angle_product,without_n_op,0.02950910093767234,-0.0016574738003307034,0.05925744622173182,0.9665,712
structural_ablation,X10 vs X10 - n_OP (Quantum product map),quantum,development_oof,auprc,quantum_angle_product,x10,quantum_angle_product,without_n_op,0.04968127004920919,0.002974645451105631,0.09646463761711063,0.9785,712
structural_ablation,X10 vs X10 - n_OP (Quantum IQP-ZZ map),quantum,development_oof,auroc,quantum_iqp_zz_linear,x10,quantum_iqp_zz_linear,without_n_op,0.02300055157198011,-0.007228580621437783,0.05173837102408537,0.9325,712
structural_ablation,X10 vs X10 - n_OP (Quantum IQP-ZZ map),quantum,development_oof,auprc,quantum_iqp_zz_linear,x10,quantum_iqp_zz_linear,without_n_op,0.058687668405543625,0.013723826241746187,0.10120565375912552,0.996,712
quantum_vs_classical,Quantum product map vs matched RBF,quantum,development_oof,auroc,quantum_angle_product,x10,rbf_matched,x10,0.01457988600845761,0.0005131917631918198,0.029934041184041162,0.979,712
quantum_vs_classical,Quantum product map vs matched RBF,quantum,development_oof,auprc,quantum_angle_product,x10,rbf_matched,x10,-0.01054999408006807,-0.03528414635457406,0.014033517558129212,0.2135,712
quantum_vs_classical,Quantum IQP-ZZ map vs matched RBF,quantum,development_oof,auroc,quantum_iqp_zz_linear,x10,rbf_matched,x10,0.017521603235889027,0.004007630079058642,0.03215756572899428,0.995,712
quantum_vs_classical,Quantum IQP-ZZ map vs matched RBF,quantum,development_oof,auprc,quantum_iqp_zz_linear,x10,rbf_matched,x10,0.007347207300622327,-0.009965508101364293,0.023849711165423313,0.802,712
structural_ablation,X10 vs X10 - n_OP (RBF kernel (matched)),quantum,historical_holdout,auroc,rbf_matched,x10,rbf_matched,without_n_op,0.028293135435992323,-0.027056277056277007,0.08920841063698215,0.843,181
structural_ablation,X10 vs X10 - n_OP (RBF kernel (matched)),quantum,historical_holdout,auprc,rbf_matched,x10,rbf_matched,without_n_op,0.07063772272509605,-0.011742003367886063,0.1531839732800787,0.9535,181
structural_ablation,X10 vs X10 - n_OP (Quantum product map),quantum,historical_holdout,auroc,quantum_angle_product,x10,quantum_angle_product,without_n_op,0.0120593692022265,-0.055198670377241736,0.08070500927643764,0.65,181
structural_ablation,X10 vs X10 - n_OP (Quantum product map),quantum,historical_holdout,auprc,quantum_angle_product,x10,quantum_angle_product,without_n_op,0.004720458786993564,-0.08250130282943322,0.11591865072214766,0.5815,181
structural_ablation,X10 vs X10 - n_OP (Quantum IQP-ZZ map),quantum,historical_holdout,auroc,quantum_iqp_zz_linear,x10,quantum_iqp_zz_linear,without_n_op,0.020408163265306145,-0.04143475572046995,0.08364254792826209,0.746,181
structural_ablation,X10 vs X10 - n_OP (Quantum IQP-ZZ map),quantum,historical_holdout,auprc,quantum_iqp_zz_linear,x10,quantum_iqp_zz_linear,without_n_op,0.06875208538394728,-0.010638113017016646,0.15150226673389577,0.9555,181
quantum_vs_classical,Quantum product map vs matched RBF,quantum,historical_holdout,auroc,quantum_angle_product,x10,rbf_matched,x10,-0.007111935683364101,-0.03757343846629562,0.023654916512059313,0.3185,181
quantum_vs_classical,Quantum product map vs matched RBF,quantum,historical_holdout,auprc,quantum_angle_product,x10,rbf_matched,x10,-0.056564434230282956,-0.10452256404133638,0.005350669759739146,0.037,181
quantum_vs_classical,Quantum IQP-ZZ map vs matched RBF,quantum,historical_holdout,auroc,quantum_iqp_zz_linear,x10,rbf_matched,x10,-0.00618429189857761,-0.025823283858997955,0.014842300556586308,0.2635,181
quantum_vs_classical,Quantum IQP-ZZ map vs matched RBF,quantum,historical_holdout,auprc,quantum_iqp_zz_linear,x10,rbf_matched,x10,-0.03787675866806506,-0.06058436999356666,0.003223151338349661,0.043,181
