evaluation_status,representation,n_features,model,n_molecules,positive_prevalence,auroc,auprc,balanced_accuracy,mcc,accuracy,precision,recall,f1,fold_mean_auroc,fold_std_auroc,fold_mean_auprc,fold_std_auprc,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,fold_mean_mcc,fold_std_mcc,fold_mean_accuracy,fold_std_accuracy,fold_mean_precision,fold_std_precision,fold_mean_recall,fold_std_recall,fold_mean_f1,fold_std_f1,source_run,model_label,representation_label,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,selection_cv_auroc,elapsed_seconds
development_oof,without_liphex,9,random_forest,712,0.3117977528089887,0.7594180915609486,0.6710796673886117,0.6778635778635779,0.4146002073001555,0.7668539325842697,0.7,0.4414414414414414,0.5414364640883977,0.7511453540978681,0.0687450850749522,0.6637185376519739,0.103300461239117,0.6729319014279267,0.066648389606834,0.4043012330183919,0.1355414052003641,0.7639473496720167,0.0516054267298166,0.6941269841269841,0.1166688262406754,0.4345357446689165,0.1394186865930785,0.5281194535413793,0.120507992152812,classical,Random forest,X10 - LiPHEX,0.7194371667585954,0.7981245403566831,0.6144021031531376,0.7235340095553493,,
development_oof,x10,10,random_forest,712,0.3117977528089887,0.7557041735613164,0.6711188911355954,0.681347674204817,0.4193651732691392,0.7682584269662921,0.6993006993006993,0.4504504504504504,0.547945205479452,0.753460401126857,0.0570028620563563,0.6619683385133605,0.082283837543639,0.6756441522265558,0.0501243248546757,0.4106915649902406,0.1022068343752401,0.7634506908755994,0.0451531871237343,0.7012643153947502,0.1164506078271679,0.4465513195658473,0.1249979208410685,0.5357590138172187,0.0892346656847731,classical,Random forest,X10,0.7143234050376908,0.7933674618496047,0.6181546836650872,0.7256259378161206,,
development_oof,without_partition_pair,8,random_forest,712,0.3117977528089887,0.7463826070968929,0.6620825614145232,0.6768063982349697,0.4305548075488296,0.773876404494382,0.744,0.4189189189189189,0.5360230547550432,0.7383965742304934,0.0753459414360271,0.653396005335245,0.1026279156654293,0.672093393348342,0.0689442147680339,0.4150354912038704,0.1198578646346116,0.7728243726720259,0.0356530665231255,0.7266047644194097,0.0643790958997756,0.4120642815073808,0.1561297960466906,0.5164073210373825,0.142560854698537,classical,Random forest,X10 - both partition descriptors,0.7031526935098364,0.7909961619783048,0.6095247734294473,0.7151736443914262,,
development_oof,without_mollogp,9,random_forest,712,0.3117977528089887,0.7444796837653981,0.6772091959721738,0.6888766317337746,0.4585098518353018,0.7837078651685393,0.7698412698412699,0.4369369369369369,0.5574712643678161,0.7458436955356367,0.0748267981802944,0.6697891228235553,0.0960334736488034,0.6830310129739647,0.063423692249344,0.4460590621122968,0.0951516956065776,0.7812268228149588,0.030439925648263,0.7647008547008547,0.0704438927547632,0.4284983686557536,0.1569461383728406,0.5364249171113014,0.1180471914325492,classical,Random forest,X10 - MolLogP,0.699465549733407,0.7853441579334437,0.6237776697521494,0.7285815483726329,,
development_oof,without_liphex,9,logistic,712,0.3117977528089887,0.7202794631366061,0.6379002274105194,0.6892351535208678,0.3944064478986392,0.7485955056179775,0.6113989637305699,0.5315315315315315,0.5686746987951807,0.7157438118486934,0.1077474275624773,0.6428143575713273,0.1055177942337133,0.6843036625479972,0.0791248366783516,0.385543072582195,0.1568441094888724,0.7446161361248838,0.0677128695545603,0.6070835490633233,0.1042927050738041,0.5256492656613723,0.1510203352453403,0.5590492407870359,0.1194525535126136,classical,Logistic regression,X10 - LiPHEX,0.6754961849604708,0.7637915977201691,0.5819881300296553,0.7037463489388419,,
development_oof,x10,10,logistic,712,0.3117977528089887,0.7170619599191027,0.6293571433266667,0.6804375804375804,0.3766857850280266,0.7415730337078652,0.5989583333333334,0.5180180180180181,0.5555555555555556,0.7195105221694689,0.0974013369646979,0.6446391082453705,0.0985475812269337,0.6755674538913554,0.079200741088394,0.3679380069313434,0.1568029599600051,0.7391629711903949,0.0631337517177462,0.5937316849816849,0.1111680999991421,0.5102438602559668,0.1536099798289374,0.5447367302340101,0.1241970656246623,classical,Logistic regression,X10,0.6712070233498805,0.7612256389042102,0.5704693896020282,0.695330476840114,,
development_oof,x10,10,rbf_svc,712,0.3117977528089887,0.7140283140283139,0.6282250069302935,0.6921492921492921,0.4664544399426399,0.7865168539325843,0.7777777777777778,0.4414414414414414,0.5632183908045977,0.7155596773421689,0.1047452038631169,0.6529180126531282,0.1040027426549047,0.6897260975225211,0.0779784906850956,0.4628792617418609,0.1678517558494089,0.7823080267574178,0.0664254175018165,0.7855927698032962,0.1876392691234968,0.4413818280404237,0.1387018220228605,0.5541042146103783,0.1324868412186082,classical,RBF-SVC,X10,0.6704964147821292,0.7577413127413127,0.5677301561600405,0.6943754112071768,,
development_oof,without_n_op,9,rbf_svc,712,0.3117977528089887,0.7124287552858981,0.5804836449181934,0.6631274131274132,0.3250691326290704,0.7092696629213483,0.5333333333333333,0.5405405405405406,0.5369127516778524,0.7053263195667212,0.0978089327624807,0.5913597520124603,0.1077404238798335,0.6532432115655606,0.0823053289929814,0.3075565561096879,0.16372660916701,0.7022145874515437,0.0755237343974525,0.5234838439594871,0.1141545721566957,0.5304133517813905,0.1306158944160358,0.5252261647152846,0.1155559604718413,classical,RBF-SVC,X10 - n_OP,0.6694861187718331,0.7559916804559661,0.5208518219188927,0.6447702507186962,,
development_oof,without_mollogp,9,logistic,712,0.3117977528089887,0.7113715756572899,0.6469021136859631,0.690393454679169,0.419832990685262,0.7654494382022472,0.6687116564417178,0.4909909909909909,0.5662337662337662,0.7192170465845885,0.1123930807900237,0.6653304054354925,0.1036520787603137,0.6879247401644593,0.0923948936325668,0.4111122707217102,0.1780768525492631,0.7606585129003568,0.0730690758979449,0.6595993765579019,0.1327054579030597,0.4935306215935755,0.1745475852508447,0.5551454070000092,0.1429336443518082,classical,Logistic regression,X10 - MolLogP,0.6646635410921126,0.7583294263651408,0.589453571592567,0.7058241221251823,,
development_oof,without_partition_pair,8,logistic,712,0.3117977528089887,0.7053042838757124,0.6451736864117816,0.6977477477477477,0.4399009915416329,0.773876404494382,0.6918238993710691,0.4954954954954955,0.5774278215223098,0.7068686211001179,0.109166460197022,0.6549832166151311,0.0966621774806471,0.6940790375076551,0.0839346869455947,0.4295224368482664,0.1558254396607878,0.7683143691303421,0.0669096505318388,0.6831278375149342,0.1099920290473534,0.4969204521020501,0.1713424231806576,0.5643242444969532,0.1295422128537982,classical,Logistic regression,X10 - both partition descriptors,0.659798216583931,0.7505619139547711,0.5839203186080066,0.7040880350930779,,
development_oof,without_n_op,9,random_forest,712,0.3117977528089887,0.7036679536679536,0.5406095424863089,0.6214193785622357,0.2800509916165609,0.7162921348314607,0.5694444444444444,0.3693693693693693,0.448087431693989,0.6957488121123664,0.0597819905945677,0.5518071036992047,0.0808554137724125,0.6161822670184389,0.039287211920896,0.2692294915567883,0.093854620415384,0.7119774097916145,0.0482244859837362,0.5628444331109128,0.0956477437750513,0.3670473136574831,0.0742308955044504,0.4420128588481766,0.0763583441008974,classical,Random forest,X10 - n_OP,0.6608148326898327,0.7445265673837103,0.48672625847074324,0.604584274507132,,
development_oof,without_mollogp,9,rbf_svc,712,0.3117977528089887,0.6898694612980328,0.6134036610239909,0.688665195808053,0.4623662338313661,0.7851123595505618,0.7804878048780488,0.4324324324324324,0.5565217391304348,0.6933425296583857,0.1340261973282471,0.6489325117365563,0.126248341584749,0.686534032505324,0.0797413798023261,0.4615823357017586,0.1791641932182747,0.7812451741464443,0.0695183873708723,0.7943182678476796,0.2038351690910261,0.4323001953873625,0.1355645700729208,0.549253236586649,0.1369151769803852,classical,RBF-SVC,X10 - MolLogP,0.6423598087883802,0.7378424342710057,0.5531005975278263,0.6817305799558177,,
development_oof,without_liphex,9,rbf_svc,712,0.3117977528089887,0.6828369185512042,0.5830199237316815,0.6816326530612244,0.3886134431067269,0.75,0.6235955056179775,0.5,0.555,0.6867398080829343,0.1169769318881898,0.6143388319277588,0.112518660421415,0.68210903209163,0.0950738771409791,0.4137284303497066,0.2191551854953078,0.7547003421543592,0.1036982533171951,0.6852890075430121,0.2064758017749893,0.4894807744444548,0.1347985819934005,0.5599104694289209,0.146434736710997,classical,RBF-SVC,X10 - LiPHEX,0.633717824967825,0.7298995679352821,0.524121570159367,0.6497900510520069,,
development_oof,without_n_op,9,logistic,712,0.3117977528089887,0.6686431329288473,0.4985778338921593,0.6448703805846663,0.2730213322518211,0.6587078651685393,0.4639175257731959,0.6081081081081081,0.5263157894736842,0.6618214684063768,0.0719084650964192,0.5191567422929818,0.0710989462611712,0.6325428489306739,0.069003218092754,0.2539624283852858,0.1302060345323049,0.655539695946106,0.0504225972009779,0.4522034992800733,0.0722347209546602,0.5852327820729758,0.1703503856794719,0.5073594642320127,0.106023396819155,classical,Logistic regression,X10 - n_OP,0.6226781117852547,0.7133032266960839,0.44897807411299073,0.5668300981474131,,
