EDGE_POSITION,EDGE_SCORE,LEFT_FEATURE,OUTER_FOLD,PATH_TYPE,RIGHT_FEATURE
4,0.014318147337405938,NumRotatableBonds,3,stable_synergy_path,n_OP
5,0.033255911578349145,n_OP,3,stable_synergy_path,NumHDonors
6,0.0,NumHDonors,3,stable_synergy_path,NumAromaticRings
7,0.0,NumAromaticRings,3,stable_synergy_path,MolWt
8,-0.012183915494379426,MolWt,3,stable_synergy_path,nHalogen
9,-0.000603329136021802,nHalogen,3,stable_synergy_path,sasa002_frac_polar_hetero_only
1,-0.0005227725835149633,MolLogP,4,current_order,MolWt
2,-0.009580677734804088,MolWt,4,current_order,TPSA_SP
3,0.01488482917661299,TPSA_SP,4,current_order,NumHDonors
4,-0.002798196819820603,NumHDonors,4,current_order,NumRotatableBonds
5,0.0,NumRotatableBonds,4,current_order,NumAromaticRings
6,0.0,NumAromaticRings,4,current_order,nHalogen
7,0.013809236079108445,nHalogen,4,current_order,n_OP
8,0.0011450421171702585,n_OP,4,current_order,LiPHEX_prediction
9,0.027934622673437798,LiPHEX_prediction,4,current_order,sasa002_frac_polar_hetero_only
1,0.0,NumAromaticRings,4,max_synergy_path,MolWt
2,0.02374407409926091,MolWt,4,max_synergy_path,NumHDonors
3,0.018394628101234406,NumHDonors,4,max_synergy_path,nHalogen
4,0.013809236079108445,nHalogen,4,max_synergy_path,n_OP
5,0.007909924283526493,n_OP,4,max_synergy_path,TPSA_SP
6,0.010009459709055868,TPSA_SP,4,max_synergy_path,NumRotatableBonds
7,0.01721672887953496,NumRotatableBonds,4,max_synergy_path,MolLogP
8,0.031497439028071256,MolLogP,4,max_synergy_path,LiPHEX_prediction
9,0.027934622673437798,LiPHEX_prediction,4,max_synergy_path,sasa002_frac_polar_hetero_only
1,0.0,NumRotatableBonds,4,stable_synergy_path,NumAromaticRings
2,0.0,NumAromaticRings,4,stable_synergy_path,NumHDonors
3,0.0,NumHDonors,4,stable_synergy_path,MolLogP
4,0.018688203567830398,MolLogP,4,stable_synergy_path,LiPHEX_prediction
5,0.013080230501009503,LiPHEX_prediction,4,stable_synergy_path,sasa002_frac_polar_hetero_only
6,-0.0026370920549011155,sasa002_frac_polar_hetero_only,4,stable_synergy_path,MolWt
7,-0.0037033195954968828,MolWt,4,stable_synergy_path,n_OP
8,-0.002686854736341209,n_OP,4,stable_synergy_path,nHalogen
9,-0.001712433807610562,nHalogen,4,stable_synergy_path,TPSA_SP
1,0.0019327441205582718,MolLogP,5,current_order,MolWt
2,0.010361338847904356,MolWt,5,current_order,TPSA_SP
3,0.010690069373620797,TPSA_SP,5,current_order,NumHDonors
4,0.01778192068581383,NumHDonors,5,current_order,NumRotatableBonds
5,0.0,NumRotatableBonds,5,current_order,NumAromaticRings
6,0.045302159054537855,NumAromaticRings,5,current_order,nHalogen
7,0.011994259372158145,nHalogen,5,current_order,n_OP
8,-0.06508619347704997,n_OP,5,current_order,LiPHEX_prediction
9,0.02624530092092195,LiPHEX_prediction,5,current_order,sasa002_frac_polar_hetero_only
1,0.019783399945593583,LiPHEX_prediction,5,max_synergy_path,NumRotatableBonds
2,0.024844003872067033,NumRotatableBonds,5,max_synergy_path,TPSA_SP
3,0.04224863378899685,TPSA_SP,5,max_synergy_path,NumAromaticRings
4,0.045302159054537855,NumAromaticRings,5,max_synergy_path,nHalogen
5,0.02911573433729031,nHalogen,5,max_synergy_path,MolLogP
6,0.08427398407865844,MolLogP,5,max_synergy_path,n_OP
7,0.005379693677698749,n_OP,5,max_synergy_path,NumHDonors
8,0.06213733553094265,NumHDonors,5,max_synergy_path,sasa002_frac_polar_hetero_only
9,0.035941772487580875,sasa002_frac_polar_hetero_only,5,max_synergy_path,MolWt
1,-1.5309542993419134e-05,LiPHEX_prediction,5,stable_synergy_path,sasa002_frac_polar_hetero_only
2,0.0057799785719687136,sasa002_frac_polar_hetero_only,5,stable_synergy_path,MolWt
3,0.0,MolWt,5,stable_synergy_path,n_OP
4,0.014441052866459768,n_OP,5,stable_synergy_path,MolLogP
5,0.0,MolLogP,5,stable_synergy_path,NumHDonors
6,-0.009885397287410062,NumHDonors,5,stable_synergy_path,NumRotatableBonds
7,-0.0007183548297067244,NumRotatableBonds,5,stable_synergy_path,nHalogen
8,0.017350664101251256,nHalogen,5,stable_synergy_path,NumAromaticRings
9,0.0007177279543125158,NumAromaticRings,5,stable_synergy_path,TPSA_SP
