MODEL,STAGE,FOLD,N,PARAMS,SYMMETRY_ERROR,DIAGONAL_ERROR,MIN_EIGENVALUE,PASS
quantum_iqp_zz_linear,nested_threshold,1.2,431,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,6.661338147750939e-16,4.577373296062127e-09,True
quantum_iqp_zz_linear,nested_threshold,1.3,431,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,4.440892098500626e-16,2.384230111509693e-16,True
quantum_iqp_zz_linear,nested_threshold,1.4,432,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.0,6.661338147750939e-16,1.22025174162311e-09,True
quantum_iqp_zz_linear,nested_outer_fit,1.0,575,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",9.992007221626409e-16,6.661338147750939e-16,-1.1107986397740274e-16,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,-1.6056481952856635e-16,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 0.25}",0.0,2.220446049250313e-15,-1.8963183471680914e-16,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 0.5}",0.0,2.4424906541753444e-15,2.471241740132861e-17,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 1.0}",0.0,2.220446049250313e-15,-3.0651394671769246e-16,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,2.8017993157659066e-12,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,8.035136446793572e-10,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 0.5}",0.0,2.220446049250313e-15,2.205991647628608e-07,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 1.0}",0.0,2.4424906541753444e-15,3.53366343908545e-05,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,3.523785674713319e-12,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,9.617272886400124e-10,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 0.5}",0.0,1.9984014443252818e-15,2.663915532233317e-07,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 1.0}",0.0,2.4424906541753444e-15,4.898898220571738e-05,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 0.125}",0.0,2.4424906541753444e-15,5.635501691740988e-17,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,-2.1279210452879883e-16,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 0.5}",0.0,2.220446049250313e-15,-2.620612543765041e-16,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 1.0}",0.0,1.9984014443252818e-15,2.0567727623623923e-16,True
quantum_angle_product,nested_threshold,2.1,457,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,-1.6056481952856635e-16,True
quantum_angle_product,nested_threshold,2.2,455,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,2.8017993157659066e-12,True
quantum_angle_product,nested_threshold,2.3,453,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,3.523785674713319e-12,True
quantum_angle_product,nested_threshold,2.4,456,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,2.4424906541753444e-15,5.635501691740988e-17,True
quantum_angle_product,nested_outer_fit,2.0,607,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,-5.768562844530025e-17,True
quantum_iqp_zz_linear,nested_hpo,2.1,457,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",5.551115123125784e-16,4.440892098500626e-16,-8.578637797083536e-17,True
quantum_iqp_zz_linear,nested_hpo,2.1,457,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",2.220446049250313e-16,6.661338147750939e-16,3.883439528753999e-16,True
quantum_iqp_zz_linear,nested_hpo,2.1,457,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",4.163336342344337e-17,4.440892098500626e-16,9.866431654833971e-17,True
quantum_iqp_zz_linear,nested_hpo,2.1,457,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",1.0408340855860844e-17,4.440892098500626e-16,8.048128114971559e-16,True
quantum_iqp_zz_linear,nested_hpo,2.2,455,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,6.661338147750939e-16,1.559628050136498e-09,True
quantum_iqp_zz_linear,nested_hpo,2.2,455,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",6.661338147750939e-16,6.661338147750939e-16,4.731756940439802e-07,True
quantum_iqp_zz_linear,nested_hpo,2.2,455,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",5.551115123125784e-16,4.440892098500626e-16,6.308350290040974e-05,True
quantum_iqp_zz_linear,nested_hpo,2.2,455,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",2.220446049250313e-16,4.440892098500626e-16,0.0009607036828018,True
quantum_iqp_zz_linear,nested_hpo,2.3,453,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",6.661338147750939e-16,4.440892098500626e-16,1.805370120885682e-09,True
quantum_iqp_zz_linear,nested_hpo,2.3,453,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",2.220446049250313e-16,4.440892098500626e-16,5.406740485886289e-07,True
quantum_iqp_zz_linear,nested_hpo,2.3,453,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",1.3877787807814454e-16,4.440892098500626e-16,0.000113524867255,True
quantum_iqp_zz_linear,nested_hpo,2.3,453,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",2.775557561562892e-17,4.440892098500626e-16,0.0012463791890182,True
quantum_iqp_zz_linear,nested_hpo,2.4,456,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.0,6.661338147750939e-16,-3.764328350796087e-17,True
quantum_iqp_zz_linear,nested_hpo,2.4,456,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,-8.667558187955347e-17,True
quantum_iqp_zz_linear,nested_hpo,2.4,456,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,1.0852101416923316e-15,True
quantum_iqp_zz_linear,nested_hpo,2.4,456,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,-2.8448338452200005e-15,True
quantum_iqp_zz_linear,nested_threshold,2.1,457,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",5.551115123125784e-16,4.440892098500626e-16,-8.578637797083536e-17,True
quantum_iqp_zz_linear,nested_threshold,2.2,455,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,6.661338147750939e-16,1.559628050136498e-09,True
quantum_iqp_zz_linear,nested_threshold,2.3,453,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",6.661338147750939e-16,4.440892098500626e-16,1.805370120885682e-09,True
quantum_iqp_zz_linear,nested_threshold,2.4,456,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.0,6.661338147750939e-16,-3.764328350796087e-17,True
quantum_iqp_zz_linear,nested_outer_fit,2.0,607,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,4.440892098500626e-16,2.2248003631120267e-19,True
quantum_angle_product,nested_hpo,3.1,424,"{""feature_scale"": 0.125}",0.0,2.220446049250313e-15,-3.3206266576704183e-16,True
quantum_angle_product,nested_hpo,3.1,424,"{""feature_scale"": 0.25}",0.0,1.9984014443252818e-15,-1.0259464304136215e-16,True
quantum_angle_product,nested_hpo,3.1,424,"{""feature_scale"": 0.5}",0.0,1.5543122344752194e-15,1.4256569359988263e-16,True
quantum_angle_product,nested_hpo,3.1,424,"{""feature_scale"": 1.0}",0.0,2.4424906541753444e-15,5.679453672811539e-16,True
quantum_angle_product,nested_hpo,3.2,422,"{""feature_scale"": 0.125}",0.0,2.220446049250313e-15,3.68964843178986e-12,True
quantum_angle_product,nested_hpo,3.2,422,"{""feature_scale"": 0.25}",0.0,2.4424906541753444e-15,1.0026049871494563e-09,True
quantum_angle_product,nested_hpo,3.2,422,"{""feature_scale"": 0.5}",0.0,1.7763568394002505e-15,2.0673308479638397e-07,True
quantum_angle_product,nested_hpo,3.2,422,"{""feature_scale"": 1.0}",0.0,1.9984014443252818e-15,1.862780169959745e-05,True
quantum_angle_product,nested_hpo,3.3,424,"{""feature_scale"": 0.125}",0.0,2.664535259100376e-15,-1.9723613420356764e-16,True
quantum_angle_product,nested_hpo,3.3,424,"{""feature_scale"": 0.25}",0.0,1.5543122344752194e-15,-2.009110817467427e-16,True
quantum_angle_product,nested_hpo,3.3,424,"{""feature_scale"": 0.5}",0.0,1.5543122344752194e-15,3.3360918341924606e-16,True
quantum_angle_product,nested_hpo,3.3,424,"{""feature_scale"": 1.0}",0.0,1.9984014443252818e-15,1.7759446260734837e-17,True
quantum_angle_product,nested_hpo,3.4,425,"{""feature_scale"": 0.125}",0.0,1.7763568394002505e-15,1.448935669653721e-16,True
quantum_angle_product,nested_hpo,3.4,425,"{""feature_scale"": 0.25}",0.0,2.220446049250313e-15,-1.9051814368122447e-16,True
quantum_angle_product,nested_hpo,3.4,425,"{""feature_scale"": 0.5}",0.0,2.220446049250313e-15,1.9694418979160628e-17,True
quantum_angle_product,nested_hpo,3.4,425,"{""feature_scale"": 1.0}",0.0,1.7763568394002505e-15,5.105609674187771e-16,True
quantum_angle_product,nested_threshold,3.1,424,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,2.220446049250313e-15,-3.3206266576704183e-16,True
quantum_angle_product,nested_threshold,3.2,422,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,2.220446049250313e-15,3.68964843178986e-12,True
quantum_angle_product,nested_threshold,3.3,424,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,2.664535259100376e-15,-1.9723613420356764e-16,True
quantum_angle_product,nested_threshold,3.4,425,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.7763568394002505e-15,1.448935669653721e-16,True
quantum_angle_product,nested_outer_fit,3.0,565,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.7763568394002505e-15,1.1076342815993924e-16,True
quantum_iqp_zz_linear,nested_hpo,3.1,424,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.0,6.661338147750939e-16,6.611349806374325e-17,True
quantum_iqp_zz_linear,nested_hpo,3.1,424,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",0.0,6.661338147750939e-16,-3.842812088092853e-17,True
quantum_iqp_zz_linear,nested_hpo,3.1,424,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,1.7268383492119238e-16,True
quantum_iqp_zz_linear,nested_hpo,3.1,424,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,8.600805840019768e-16,True
quantum_iqp_zz_linear,nested_hpo,3.2,422,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",7.771561172376097e-16,6.661338147750939e-16,1.76309631867326e-09,True
quantum_iqp_zz_linear,nested_hpo,3.2,422,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",7.771561172376097e-16,6.661338147750939e-16,3.333323555016936e-07,True
