MODEL,STATUS,REASON
quantum_angle_product,not_available,No independent Qiskit/PennyLane reference implementation exists in the repository; canonical exact NumPy implementation retained.
quantum_iqp_zz_linear,not_available,No independent Qiskit/PennyLane reference implementation exists in the repository; canonical exact NumPy implementation retained.
