MODEL,OUTER_AUROC_MEAN,OUTER_AUROC_SD,OUTER_AUPRC_MEAN,OUTER_AUPRC_SD,POOLED_OOF_AUROC,POOLED_OOF_AUPRC,POOLED_OOF_BALANCED_ACCURACY,POOLED_OOF_MCC,POOLED_OOF_SENSITIVITY,POOLED_OOF_SPECIFICITY,TP,TN,FP,FN
random_forest,0.7479964657132998,0.05743154042984117,0.6572818084990102,0.0965713115468477,0.7565407243978672,0.6748925980951925,0.6798308512594227,0.46803623625396695,0.3963963963963964,0.963265306122449,88,472,18,134
logistic,0.7327760805966137,0.1038916764025293,0.6595980315210853,0.12405539097644834,0.7252436109578967,0.6453827317886681,0.678424342710057,0.44607431240497847,0.4099099099099099,0.9469387755102041,91,464,26,131
quantum_angle_product,0.721622306255456,0.10751727945244793,0.627945889812519,0.12625217206101738,0.7171446957161245,0.5978457480266244,0.6575565361279647,0.3966476279687911,0.3783783783783784,0.936734693877551,84,459,31,138
quantum_iqp_zz_linear,0.7129905370036581,0.1055894740777469,0.6454753173821848,0.11215760371817227,0.7139823496966354,0.6150798325487455,0.6548814120242692,0.4000124193087406,0.36486486486486486,0.9448979591836735,81,463,27,141
rbf_matched,0.7106003282326844,0.10835664986225471,0.6404378066526034,0.10666618668852623,0.7153980511123369,0.6259692332622301,0.6632928847214561,0.40548141824365863,0.3918918918918919,0.9346938775510204,87,458,32,135
mlp,0.6770992931740407,0.12448326823504426,0.5961321670804997,0.13825573367131985,0.667687074829932,0.5763206344683861,0.6536127964699393,0.4282678480778432,0.33783783783783783,0.9693877551020408,75,475,15,147
