evaluation_status,representation,n_features,model,outer_fold,n_train,n_validation,positive_prevalence,best_inner_auroc,elapsed_seconds,auroc,auprc,balanced_accuracy,mcc,accuracy,precision,recall,f1
development_oof,x10,10,rbf_matched,1,575,137,0.291970802919708,0.7818310906561423,0.9907450000009703,0.5670103092783506,0.5043690280342603,0.6028350515463917,0.23189680436108592,0.708029197080292,0.5,0.35,0.4117647058823529
development_oof,x10,10,quantum_angle_product,1,575,137,0.291970802919708,0.7912575423962589,1.6270295999984228,0.5631443298969072,0.49226109502024123,0.6028350515463917,0.23189680436108592,0.708029197080292,0.5,0.35,0.4117647058823529
development_oof,x10,10,quantum_iqp_zz_linear,1,575,137,0.291970802919708,0.7827649959119939,1.8357114999998885,0.5750000000000001,0.48607012132981353,0.6028350515463917,0.23189680436108592,0.708029197080292,0.5,0.35,0.4117647058823529
development_oof,x10,10,rbf_matched,2,607,105,0.3523809523809524,0.773539826190019,1.0892268999996304,0.6442766295707472,0.5828318645335555,0.6389109697933227,0.3521486100099929,0.7238095238095238,0.7222222222222222,0.35135135135135137,0.4727272727272727
development_oof,x10,10,quantum_angle_product,2,607,105,0.3523809523809524,0.7705988452840162,1.695522299998629,0.6657392686804452,0.5857136251062913,0.6315580286168522,0.3264950828107203,0.7142857142857143,0.6842105263157895,0.35135135135135137,0.4642857142857143
development_oof,x10,10,quantum_iqp_zz_linear,2,607,105,0.3523809523809524,0.7702963276491019,1.9026044000002003,0.6518282988871225,0.5960354348603318,0.6389109697933227,0.3521486100099929,0.7238095238095238,0.7222222222222222,0.35135135135135137,0.4727272727272727
development_oof,x10,10,rbf_matched,3,565,147,0.25170068027210885,0.7388092977587355,0.9811113999985537,0.7965601965601965,0.7104968784840587,0.7431203931203931,0.5915374470496401,0.8571428571428571,0.8636363636363636,0.5135135135135135,0.6440677966101694
development_oof,x10,10,quantum_angle_product,3,565,147,0.25170068027210885,0.7401419251180681,1.536458099999436,0.8368550368550369,0.7602196215127109,0.7116707616707617,0.5745025173191878,0.8503401360544217,0.9411764705882353,0.43243243243243246,0.5925925925925926
development_oof,x10,10,quantum_iqp_zz_linear,3,565,147,0.25170068027210885,0.7393621839346285,1.7342888000002858,0.8368550368550368,0.7594701406500688,0.7251842751842752,0.5962579088746638,0.8571428571428571,0.9444444444444444,0.4594594594594595,0.6181818181818182
development_oof,x10,10,rbf_matched,4,531,181,0.3259668508287293,0.7072740826389314,0.8853978000006464,0.7685468185607113,0.7323221834815695,0.6694915254237288,0.5068225963001588,0.7845303867403315,1.0,0.3389830508474576,0.5063291139240507
development_oof,x10,10,quantum_angle_product,4,531,181,0.3259668508287293,0.719668371329807,1.40947849999975,0.8053626007224228,0.7774933299692763,0.6610169491525424,0.49246254224428665,0.7790055248618785,1.0,0.3220338983050847,0.48717948717948717
development_oof,x10,10,quantum_iqp_zz_linear,4,531,181,0.3259668508287293,0.7074889203709266,1.6049043999992136,0.8207835509863851,0.7783749876418457,0.6694915254237288,0.5068225963001588,0.7845303867403315,1.0,0.3389830508474576,0.5063291139240507
development_oof,x10,10,rbf_matched,5,570,142,0.34507042253521125,0.7240001353222435,0.9994912999991357,0.8014044327408383,0.7345701087321969,0.7942725477287689,0.6319908509884269,0.8380281690140845,0.8421052631578947,0.6530612244897959,0.735632183908046
development_oof,x10,10,quantum_angle_product,5,570,142,0.34507042253521125,0.7264271604599299,1.5878017000013642,0.7992100065832785,0.681752100612137,0.793723941189379,0.6162490200035872,0.8309859154929577,0.8048780487804879,0.673469387755102,0.7333333333333333
development_oof,x10,10,quantum_iqp_zz_linear,5,570,142,0.34507042253521125,0.7229657231590183,1.8830806000005396,0.80513495720869,0.741685589138578,0.7835198595567259,0.5992705194138283,0.823943661971831,0.8,0.6530612244897959,0.7191011235955056
