evaluation_status,representation,n_features,model,n_molecules,positive_prevalence,auroc,auprc,balanced_accuracy,mcc,accuracy,precision,recall,f1,fold_mean_auroc,fold_std_auroc,fold_mean_auprc,fold_std_auprc,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,fold_mean_mcc,fold_std_mcc,fold_mean_accuracy,fold_std_accuracy,fold_mean_precision,fold_std_precision,fold_mean_recall,fold_std_recall,fold_mean_f1,fold_std_f1
development_oof,without_liphex,9,random_forest,712,0.31179775280898875,0.7594180915609486,0.6710796673886117,0.6778635778635779,0.4146002073001555,0.7668539325842697,0.7,0.44144144144144143,0.5414364640883977,0.7511453540978681,0.0687450850749522,0.6637185376519739,0.10330046123911707,0.6729319014279267,0.06664838960683402,0.40430123301839194,0.13554140520036415,0.7639473496720167,0.05160542672981661,0.6941269841269841,0.11666882624067546,0.43453574466891653,0.13941868659307857,0.5281194535413793,0.12050799215281202
development_oof,x10,10,random_forest,712,0.31179775280898875,0.7557041735613164,0.6711188911355954,0.681347674204817,0.4193651732691392,0.7682584269662921,0.6993006993006993,0.45045045045045046,0.547945205479452,0.753460401126857,0.05700286205635633,0.6619683385133605,0.08228383754363901,0.6756441522265558,0.05012432485467572,0.4106915649902406,0.10220683437524015,0.7634506908755994,0.045153187123734395,0.7012643153947502,0.11645060782716793,0.44655131956584737,0.12499792084106856,0.5357590138172187,0.08923466568477315
development_oof,without_partition_pair,8,random_forest,712,0.31179775280898875,0.7463826070968929,0.6620825614145232,0.6768063982349697,0.4305548075488296,0.773876404494382,0.744,0.4189189189189189,0.5360230547550432,0.7383965742304934,0.07534594143602712,0.653396005335245,0.10262791566542938,0.672093393348342,0.06894421476803395,0.4150354912038704,0.11985786463461161,0.7728243726720259,0.03565306652312559,0.7266047644194097,0.06437909589977568,0.4120642815073808,0.15612979604669067,0.5164073210373825,0.142560854698537
development_oof,without_mollogp,9,random_forest,712,0.31179775280898875,0.7444796837653981,0.6772091959721738,0.6888766317337746,0.45850985183530185,0.7837078651685393,0.7698412698412699,0.4369369369369369,0.5574712643678161,0.7458436955356367,0.07482679818029443,0.6697891228235553,0.09603347364880348,0.6830310129739647,0.06342369224934408,0.4460590621122968,0.09515169560657762,0.7812268228149588,0.030439925648263054,0.7647008547008547,0.07044389275476327,0.42849836865575364,0.15694613837284066,0.5364249171113014,0.11804719143254924
development_oof,without_liphex,9,logistic,712,0.31179775280898875,0.7202794631366061,0.6379002274105194,0.6892351535208678,0.39440644789863927,0.7485955056179775,0.6113989637305699,0.5315315315315315,0.5686746987951807,0.7157438118486934,0.10774742756247732,0.6428143575713273,0.10551779423371335,0.6843036625479972,0.0791248366783516,0.385543072582195,0.1568441094888724,0.7446161361248838,0.06771286955456038,0.6070835490633233,0.10429270507380412,0.5256492656613723,0.1510203352453403,0.5590492407870359,0.11945255351261365
development_oof,x10,10,logistic,712,0.31179775280898875,0.7170619599191027,0.6293571433266667,0.6804375804375804,0.3766857850280266,0.7415730337078652,0.5989583333333334,0.5180180180180181,0.5555555555555556,0.7195105221694689,0.09740133696469794,0.6446391082453705,0.09854758122693372,0.6755674538913554,0.079200741088394,0.36793800693134343,0.15680295996000515,0.7391629711903949,0.06313375171774621,0.5937316849816849,0.1111680999991421,0.5102438602559668,0.15360997982893745,0.5447367302340101,0.12419706562466235
development_oof,x10,10,rbf_svc,712,0.31179775280898875,0.7140283140283139,0.6282250069302935,0.6921492921492921,0.4664544399426399,0.7865168539325843,0.7777777777777778,0.44144144144144143,0.5632183908045977,0.7155596773421689,0.10474520386311698,0.6529180126531282,0.10400274265490476,0.6897260975225211,0.07797849068509563,0.46287926174186095,0.16785175584940895,0.7823080267574178,0.06642541750181652,0.7855927698032962,0.18763926912349688,0.4413818280404237,0.13870182202286052,0.5541042146103783,0.1324868412186082
development_oof,without_n_op,9,rbf_svc,712,0.31179775280898875,0.7124287552858981,0.5804836449181934,0.6631274131274132,0.3250691326290704,0.7092696629213483,0.5333333333333333,0.5405405405405406,0.5369127516778524,0.7053263195667212,0.09780893276248073,0.5913597520124603,0.1077404238798335,0.6532432115655606,0.08230532899298147,0.30755655610968796,0.16372660916701007,0.7022145874515437,0.07552373439745258,0.5234838439594871,0.11415457215669576,0.5304133517813905,0.1306158944160358,0.5252261647152846,0.11555596047184136
development_oof,without_mollogp,9,logistic,712,0.31179775280898875,0.7113715756572899,0.6469021136859631,0.690393454679169,0.41983299068526203,0.7654494382022472,0.6687116564417178,0.49099099099099097,0.5662337662337662,0.7192170465845885,0.11239308079002372,0.6653304054354925,0.10365207876031371,0.6879247401644593,0.09239489363256685,0.4111122707217102,0.17807685254926317,0.7606585129003568,0.0730690758979449,0.6595993765579019,0.13270545790305974,0.4935306215935755,0.1745475852508447,0.5551454070000092,0.14293364435180825
development_oof,without_partition_pair,8,logistic,712,0.31179775280898875,0.7053042838757124,0.6451736864117816,0.6977477477477477,0.4399009915416329,0.773876404494382,0.6918238993710691,0.4954954954954955,0.5774278215223098,0.7068686211001179,0.10916646019702209,0.6549832166151311,0.09666217748064718,0.6940790375076551,0.0839346869455947,0.4295224368482664,0.15582543966078785,0.7683143691303421,0.06690965053183888,0.6831278375149342,0.10999202904735347,0.4969204521020501,0.17134242318065768,0.5643242444969532,0.1295422128537982
