MODEL,N,MCC,AUROC,AUPRC,BALANCED_ACCURACY,SENSITIVITY,SPECIFICITY,TP,TN,FP,FN,FOLD_MCC_MEAN,FOLD_MCC_SD,FOLD_AUROC_MEAN,FOLD_AUROC_SD,MCC_CI_LOW_95,MCC_CI_HIGH_95,MCC_BOOTSTRAP_MEDIAN
quantum_iqp_zz_linear,712,0.4000124193087406,0.7139823496966354,0.6150798325487455,0.6548814120242692,0.36486486486486486,0.9448979591836735,81,463,27,141,0.40453522500935213,0.13580247667201376,0.7129905370036581,0.1055894740777469,0.25712678989628385,0.5233285428406373,0.3985676824782177
iqp_zz_current_20q_idle_control,712,0.4000124193087406,0.7139823496966354,0.6150798325487455,0.6548814120242692,0.36486486486486486,0.9448979591836735,81,463,27,141,0.40453522500935213,0.13580247667201376,0.7129905370036581,0.1055894740777469,0.25712678989628385,0.5233285428406373,0.3985676824782177
iqp_zz_current_20q_duplicate,712,0.4313798800514259,0.7271005699577129,0.6320638979872486,0.6583287369001655,0.35135135135135137,0.9653061224489796,78,473,17,144,0.42203907542134783,0.11847601264883013,0.7247736817340648,0.10584761128269463,0.29455943536942714,0.5508273710846591,0.4317701616091483
iqp_zz_current_20q_complementary_signed_sqrt,712,0.42554627165468834,0.7288012502298217,0.6378983701407476,0.6696267696267696,0.3963963963963964,0.9428571428571428,88,462,28,134,0.42820830735139415,0.14769328388001324,0.7298218879838021,0.10162717611865277,0.283714055197912,0.5506363184484476,0.42494144198877
