evaluation_status,representation,n_features,model,outer_fold,n_train,n_validation,positive_prevalence,best_inner_auroc,elapsed_seconds,auroc,auprc,balanced_accuracy,mcc,accuracy,precision,recall,f1
development_oof,x10,10,logistic,1,575,137,0.291970802919708,0.7694505689847304,0.21344349999708356,0.5716494845360826,0.4701982484048365,0.577061855670103,0.16387461394968147,0.6715328467153284,0.42424242424242425,0.35,0.3835616438356164
development_oof,x10,10,logistic,2,607,105,0.3523809523809524,0.7682765201100774,0.14922800000204006,0.6903815580286169,0.6125163583068234,0.6206279809220986,0.25776715463184957,0.6761904761904762,0.5517241379310345,0.43243243243243246,0.48484848484848486
development_oof,x10,10,logistic,3,565,147,0.25170068027210885,0.7211548253728679,0.15540980000514537,0.8,0.6933445107513834,0.7428746928746929,0.5230652957301828,0.8299319727891157,0.7,0.5675675675675675,0.6268656716417911
development_oof,x10,10,logistic,4,531,181,0.3259668508287293,0.6944723136887172,0.1704844000050798,0.7766046123923313,0.7318229624395913,0.6960266740761323,0.4653081272920234,0.7790055248618785,0.7714285714285715,0.4576271186440678,0.574468085106383
development_oof,x10,10,logistic,5,570,142,0.34507042253521125,0.7114239658961796,0.188677899997856,0.8220320386219003,0.7891842981841386,0.7748518762343647,0.5302774557689852,0.7746478873239436,0.6440677966101694,0.7755102040816326,0.7037037037037037
development_oof,x10,10,rbf_svc,1,575,137,0.291970802919708,0.7846302545319109,1.092219300000579,0.5804123711340207,0.5094216453447693,0.5925257731958763,0.20344923690360678,0.6934306569343066,0.4666666666666667,0.35,0.4
development_oof,x10,10,rbf_svc,2,607,105,0.3523809523809524,0.7745450599383454,1.2591548999989755,0.6418918918918918,0.5604162301812287,0.6315580286168522,0.3264950828107203,0.7142857142857143,0.6842105263157895,0.35135135135135137,0.4642857142857143
development_oof,x10,10,rbf_svc,3,565,147,0.25170068027210885,0.7413200192317054,1.1520981000066968,0.7815724815724816,0.7000494040009769,0.7340294840294841,0.5495909830925086,0.8435374149659864,0.7916666666666666,0.5135135135135135,0.6229508196721312
development_oof,x10,10,rbf_svc,4,531,181,0.3259668508287293,0.7104142400818033,1.033319099995424,0.8093914976382328,0.7706371933294858,0.635593220338983,0.4477874615072448,0.7624309392265194,1.0,0.2711864406779661,0.4266666666666667
development_oof,x10,10,rbf_svc,5,570,142,0.34507042253521125,0.7169644769304991,1.1559041000000434,0.795260039499671,0.7376837985668752,0.7684880403774412,0.5815659129417781,0.8169014084507042,0.8108108108108109,0.6122448979591837,0.6976744186046512
development_oof,x10,10,random_forest,1,575,137,0.291970802919708,0.7634999307877154,9.207488799998828,0.6899484536082475,0.5320500154857176,0.6109536082474227,0.26994230067016006,0.7299270072992701,0.5652173913043478,0.325,0.4126984126984127
development_oof,x10,10,random_forest,2,607,105,0.3523809523809524,0.7591162865404483,9.973183900001459,0.7555643879173292,0.6617022567934632,0.6365262321144675,0.31063707513958283,0.7047619047619048,0.625,0.40540540540540543,0.4918032786885246
development_oof,x10,10,random_forest,3,565,147,0.25170068027210885,0.7596236123959297,9.675909499994304,0.7366093366093366,0.661672642663408,0.7024570024570025,0.4837101963279821,0.8231292517006803,0.7391304347826086,0.4594594594594595,0.5666666666666667
development_oof,x10,10,random_forest,4,531,181,0.3259668508287293,0.7682848915806425,10.066796400002204,0.7393025840511255,0.6920632549654312,0.682620172270075,0.4881262258436244,0.7845303867403315,0.8846153846153846,0.3898305084745763,0.5411764705882353
development_oof,x10,10,random_forest,5,570,142,0.34507042253521125,0.7381800084374834,9.107966100003978,0.8468290542023261,0.7654620318335495,0.7351327627825324,0.47026552556506473,0.7605633802816901,0.6530612244897959,0.6530612244897959,0.6530612244897959
development_oof,x10,10,xgboost,1,575,137,0.291970802919708,0.7825058730855832,3.700423900001624,0.6711340206185568,0.5284010521734489,0.6036082474226804,0.26151797454109105,0.7299270072992701,0.5714285714285714,0.3,0.39344262295081966
