C,FEATURE,FEATURE_INDEX,FEATURE_SCALE,INNER_AUPRC,INNER_AUROC,INNER_BALANCED_ACCURACY,INNER_MCC,OUTER_AUPRC,OUTER_AUROC,OUTER_FOLD,OUTER_MCC,SELECTION_SOURCE,THRESHOLD
0.1,MolLogP,0,0.125,0.4402758407849354,0.5992366412213741,0.5644031540978105,0.23281263438218677,0.31444816462338115,0.49536082474226806,1,0.013611940186029518,inner_OOF_outer_train_only,0.6578618827668039
0.1,MolWt,1,0.125,0.35312950730447373,0.5180004473897604,0.5520160501076532,0.15491521715807452,0.4229940498639293,0.5158505154639176,1,0.0983641233105313,inner_OOF_outer_train_only,-0.790482121980324
0.1,TPSA_SP,2,1.0,0.4456810751080796,0.6393199675642423,0.6203897883287196,0.23022572425031712,0.355794935045665,0.5676546391752577,1,0.10460034076880925,inner_OOF_outer_train_only,-0.5854147555236018
0.1,NumHDonors,3,0.125,0.3800088811109896,0.5706176774879065,0.5769929815731343,0.16382052287294424,0.26197825322825324,0.4099226804123711,1,0.0,inner_OOF_outer_train_only,1.000000055680868
100.0,NumRotatableBonds,4,0.125,0.4189467404927788,0.6364259150518693,0.6267720828789531,0.23629459569893368,0.32569767467096794,0.5278350515463918,1,0.07073488931317767,inner_OOF_outer_train_only,0.7070210520693188
1.0,NumAromaticRings,5,1.0,0.33589870347485656,0.544186729301233,0.5513170036070799,0.12013319994417489,0.334636522134627,0.5568298969072165,1,0.09458762886597938,inner_OOF_outer_train_only,-1.0003014522222435
10.0,nHalogen,6,0.25,0.35251034786824775,0.5357142857142857,0.517958504599726,0.142624985128914,0.3489181103304476,0.6036082474226804,1,0.0,inner_OOF_outer_train_only,2.200215484829333
0.1,n_OP,7,0.125,0.614070018098468,0.7056804518636579,0.696935380141487,0.5321466428312986,0.3769870235198702,0.5771907216494845,1,0.2833248842736598,inner_OOF_outer_train_only,-0.39983961234144105
10.0,LiPHEX_prediction,8,1.0,0.3651874403272775,0.5752733271817241,0.5757906215921482,0.14129948550810909,0.4124939887185909,0.5989690721649484,1,0.11041259648935832,inner_OOF_outer_train_only,0.5617763419775804
100.0,sasa002_frac_polar_hetero_only,9,0.5,0.3734860910949699,0.5729594832648267,0.5840883035539524,0.15758299823222072,0.36350473496844915,0.5692010309278351,1,0.16411787085981583,inner_OOF_outer_train_only,-0.23063712153749924
0.1,MolLogP,0,0.125,0.41078186310247,0.5604649673370052,0.5538683232996029,0.2288005211604638,0.4193737562981531,0.59181240063593,2,-0.07233187715308298,inner_OOF_outer_train_only,0.8068108279835701
100.0,MolWt,1,0.125,0.3043270189775651,0.47028307928781865,0.518848469322403,0.06200118771124011,0.3786844904204366,0.5437201907790143,2,0.26496929756624904,inner_OOF_outer_train_only,-0.9586857606874526
10.0,TPSA_SP,2,1.0,0.42560118749322123,0.6371013193288075,0.6190598181119509,0.2477991357360918,0.40644609677711235,0.49304451510333863,2,-0.001589825119236884,inner_OOF_outer_train_only,0.4028487725414276
100.0,NumHDonors,3,1.0,0.3656879095966754,0.5976367362623287,0.5876585115921609,0.16493662879033297,0.3788761243679276,0.522456279809221,2,0.10120667905107324,inner_OOF_outer_train_only,0.9999081173907554
100.0,NumRotatableBonds,4,0.125,0.41708377558747356,0.6154540796720891,0.6099462021262969,0.20507413836460095,0.46934745946178785,0.6297694753577107,2,0.06677319953257761,inner_OOF_outer_train_only,0.5120656455236823
0.1,NumAromaticRings,5,0.125,0.3799872005443243,0.554374279492763,0.5706737543230435,0.18480138971715038,0.34311652101795187,0.4799284578696344,2,-0.11280231021497004,inner_OOF_outer_train_only,1.000000019375639
