MODEL,N,MCC,AUROC,AUPRC,BALANCED_ACCURACY,SENSITIVITY,SPECIFICITY,TP,TN,FP,FN,FOLD_MCC_MEAN,FOLD_MCC_SD,FOLD_AUROC_MEAN,FOLD_AUROC_SD
current_order_10q,712,0.4000124193087406,0.7139915425629711,0.6150771115375273,0.6548814120242692,0.36486486486486486,0.9448979591836735,81,463,27,141,0.40453522500935213,0.13580247667201376,0.7129905370036581,0.1055894740777469
max_synergy_path_10q,712,0.38840872514150304,0.7183121897407612,0.6206449766770606,0.6542838757124472,0.3738738738738739,0.9346938775510204,83,458,32,139,0.3991916528255851,0.15244332087369647,0.7185623164808463,0.10437464960152273
stable_synergy_path_10q,712,0.42558126803923346,0.7157657657657658,0.6114962392208979,0.662235705092848,0.36936936936936937,0.9551020408163265,82,468,22,140,0.42393140413581687,0.10837448962434089,0.7151723673279695,0.10232906432031706
current_order_20q_duplicate,712,0.4313798800514259,0.7271005699577129,0.6320638979872486,0.6583287369001655,0.35135135135135137,0.9653061224489796,78,473,17,144,0.42203907542134783,0.11847601264883013,0.7247736817340648,0.10584761128269463
current_order_20q_complementary,712,0.42554627165468834,0.7288012502298217,0.6378983701407476,0.6696267696267696,0.3963963963963964,0.9428571428571428,88,462,28,134,0.42820830735139415,0.14769328388001324,0.7298218879838021,0.10162717611865277
max_synergy_path_20q_duplicate,712,0.3360093450672137,0.6922136422136422,0.5952867080230919,0.6348593491450635,0.35135135135135137,0.9183673469387755,78,450,40,144,0.3381603582090261,0.1713384794115378,0.6979106237125475,0.09579070080780085
max_synergy_path_20q_complementary,712,0.4295409818589458,0.7282588711160141,0.6366015385489208,0.669415333701048,0.3918918918918919,0.9469387755102041,87,464,26,135,0.4288188284264919,0.14653368012118756,0.7290014774727158,0.10148505167433479
stable_synergy_path_20q_duplicate,712,0.426330719170348,0.7296102224673654,0.6356149964334771,0.6585401728258871,0.35585585585585583,0.9612244897959183,79,471,19,143,0.41973622500229746,0.11160983429397098,0.7271412556584145,0.10580180396636313
stable_synergy_path_20q_complementary,712,0.4217344593847657,0.7287185144328001,0.6371229259475797,0.6698382055524913,0.4009009009009009,0.9387755102040817,89,460,30,133,0.4252144450350929,0.1434688986059618,0.729859208458673,0.10079636141262072
