C,INNER_THRESHOLD_MCC,KERNEL_PARAMS,MODEL,ORDER_FEATURES,OUTER_FOLD,SELECTION_SOURCE,THRESHOLD
1.0,0.49992669559006553,"{""feature_scale"": 0.125}",stable_synergy_path_20q_complementary,"[""NumAromaticRings"", ""NumRotatableBonds"", ""LiPHEX_prediction"", ""nHalogen"", ""NumHDonors"", ""MolWt"", ""MolLogP"", ""n_OP"", ""sasa002_frac_polar_hetero_only"", ""TPSA_SP""]",2,inner_OOF_outer_train_only,0.2610328883841728
1.0,0.4781371967809245,"{""feature_scale"": 0.125}",current_order_10q,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",3,inner_OOF_outer_train_only,0.43612686511013943
1.0,0.4669579078845362,"{""feature_scale"": 0.125}",max_synergy_path_10q,"[""TPSA_SP"", ""MolWt"", ""MolLogP"", ""NumHDonors"", ""n_OP"", ""NumRotatableBonds"", ""NumAromaticRings"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]",3,inner_OOF_outer_train_only,0.4162711788379044
1.0,0.4781371967809245,"{""feature_scale"": 0.125}",stable_synergy_path_10q,"[""LiPHEX_prediction"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""n_OP"", ""NumHDonors"", ""NumAromaticRings"", ""MolWt"", ""nHalogen"", ""sasa002_frac_polar_hetero_only""]",3,inner_OOF_outer_train_only,0.40497528234956337
1.0,0.4655290862984109,"{""feature_scale"": 0.125}",current_order_20q_duplicate,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",3,inner_OOF_outer_train_only,0.5297393622045521
1.0,0.47178360493773047,"{""feature_scale"": 0.125}",current_order_20q_complementary,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",3,inner_OOF_outer_train_only,0.6715404963362874
1.0,0.30997687250532796,"{""feature_scale"": 1.0}",max_synergy_path_20q_duplicate,"[""TPSA_SP"", ""MolWt"", ""MolLogP"", ""NumHDonors"", ""n_OP"", ""NumRotatableBonds"", ""NumAromaticRings"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]",3,inner_OOF_outer_train_only,-0.3189567420190116
1.0,0.47178360493773047,"{""feature_scale"": 0.125}",max_synergy_path_20q_complementary,"[""TPSA_SP"", ""MolWt"", ""MolLogP"", ""NumHDonors"", ""n_OP"", ""NumRotatableBonds"", ""NumAromaticRings"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]",3,inner_OOF_outer_train_only,0.6855000752705901
1.0,0.4703634278059676,"{""feature_scale"": 0.125}",stable_synergy_path_20q_duplicate,"[""LiPHEX_prediction"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""n_OP"", ""NumHDonors"", ""NumAromaticRings"", ""MolWt"", ""nHalogen"", ""sasa002_frac_polar_hetero_only""]",3,inner_OOF_outer_train_only,0.470530190839309
1.0,0.47178360493773047,"{""feature_scale"": 0.125}",stable_synergy_path_20q_complementary,"[""LiPHEX_prediction"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""n_OP"", ""NumHDonors"", ""NumAromaticRings"", ""MolWt"", ""nHalogen"", ""sasa002_frac_polar_hetero_only""]",3,inner_OOF_outer_train_only,0.690801375300135
