DIAGONAL_ERROR,FOLD,MIN_EIGENVALUE,MODEL,N,PARAMS,PASS,PSD_VERIFICATION,STAGE,SYMMETRY_ERROR
0.0,1.3,,pair_iqp_zz__MolLogP__MolWt,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolLogP__MolWt,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1,,pair_iqp_zz__MolLogP__MolWt,575,"{""C"": 100.0, ""feature_scale"": 0.25}",True,fidelity_gram_by_construction,outer_fit,0.0
0.0,1.1,,pair_phase_no_zz__MolLogP__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolLogP__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolLogP__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolLogP__TPSA_SP,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolLogP__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolLogP__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolLogP__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolLogP__TPSA_SP,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolLogP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolLogP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolLogP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolLogP__NumHDonors,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolLogP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolLogP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolLogP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolLogP__NumHDonors,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolLogP__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolLogP__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolLogP__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolLogP__NumRotatableBonds,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolLogP__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolLogP__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolLogP__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolLogP__NumRotatableBonds,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolLogP__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolLogP__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolLogP__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolLogP__NumAromaticRings,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolLogP__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolLogP__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolLogP__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolLogP__NumAromaticRings,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolLogP__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolLogP__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolLogP__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolLogP__nHalogen,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolLogP__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolLogP__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolLogP__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolLogP__nHalogen,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
